# IBAN-Regeln der Deutschen Bundesbank je Bankleitzahl (BLZ;Regel*100+Version)
# Quelle: Bankleitzahlendatei mit IBAN-Regeln, extrahiert aus der mitgelieferten blz.lut2f von konto_check 6.15
# (Gueltigkeit der Daten: 20251208-20260308 (Zweiter Datensatz)). Die Bundesbank veroeffentlicht die IBAN-Regel-Spalte nicht mehr in
# den aktuellen Bankleitzahlendateien; diese Tabelle wird von konto_check_ruby auf Dateien ohne
# IBAN-Regeln angewendet (Option iban_rules).
10000000;4201
10020200;800
10020890;3200
10033300;4700
10040000;503
10040005;503
10040010;503
10040048;503
10040060;503
10040061;503
10040062;503
10040063;503
10040085;503
10045050;503
10050000;400
10060198;100
10070000;2002
10070024;2002
10070100;2002
10070124;2002
10070324;2002
10070397;2002
10070398;2002
10070399;2002
10070848;2002
10071324;2002
10072324;2002
10077777;2002
10080000;503
10080005;503
10080006;503
10080055;503
10080057;503
10080085;503
10080086;503
10080087;503
10080088;503
10080089;503
10080900;503
10089260;503
10089999;503
12040000;503
12070000;2002
12070024;2002
12070400;2002
12070424;2002
12080000;503
13000000;4201
13040000;503
13070000;2002
13070024;2002
13070405;2002
13070424;2002
13080000;503
14040000;503
14080000;503
14080011;503
15000000;4201
15040068;503
15080000;503
16020086;3200
16040000;503
16080000;503
17020086;3200
17040000;503
17080000;503
18020086;3200
18040000;503
18080000;503
20000000;4201
20040000;503
20040005;503
20040020;503
20040040;503
20040048;503
20040050;503
20040060;503
20040061;503
20040062;503
20040063;503
20041111;503
20041133;503
20041144;503
20041155;503
20041166;503
20041177;503
20041188;503
20041199;503
20070000;2002
20070024;2002
20070404;2002
20070424;2002
20080000;503
20080055;503
20080057;503
20080085;503
20080086;503
20080087;503
20080088;503
20080089;503
20080091;503
20080092;503
20080093;503
20080094;503
20080095;503
20089200;503
20110700;3700
20120200;800
20133300;4700
21040010;503
21042076;503
21050000;3600
21070020;2002
21070024;2002
21080050;503
21089201;503
21240040;503
21241540;503
21270020;2002
21270024;2002
21280002;503
21340010;503
21440045;503
21480003;503
21540060;503
21570011;2002
21570024;2002
21570202;2002
21570224;2002
21580000;503
21740043;503
21741674;503
21741825;503
21770011;2002
21770024;2002
21840078;503
21841328;503
22140028;503
22141028;503
22141428;503
22141628;503
22180000;503
22181400;503
22240073;503
22280000;503
23040022;503
23070203;2002
23070224;2002
23070700;2002
23070710;2002
23080040;503
23089201;503
24040000;503
24070024;2002
24070075;2002
24070324;2002
24070368;2002
24080000;503
24140041;503
24180000;503
24180001;503
25000000;4201
25020200;800
25020600;4600
25040060;503
25040061;503
25040066;503
25050299;2800
25070024;2002
25070066;2002
25070070;2002
25070077;2002
25070084;2002
25070086;2002
25070324;2002
25070370;2002
25080020;503
25080085;503
25089220;503
25090300;3800
25190088;100
25440047;503
25470024;2002
25470073;2002
25471024;2002
25471073;2002
25480021;503
25541426;503
25621327;3900
25641302;503
25740061;503
25770024;2002
25770069;2002
25780022;503
25840048;503
25841403;503
25841708;503
25940033;503
25970024;2002
25970074;2002
25971024;2002
25971071;2002
25980027;503
26000000;4201
26040030;503
26070024;2002
26070072;2002
26080024;503
26240039;503
26271424;2002
26271471;2002
26280020;503
26281420;503
26340056;503
26341072;503
26500000;4201
26520017;3900
26521703;3900
26522319;3900
26540070;503
26570024;2002
26570090;2002
26580070;503
26589210;503
26590025;2300
26620010;3900
26621413;3900
26640049;503
26691213;3800
26720028;3900
26740044;503
26770024;2002
26770095;2002
26840032;503
26870024;2002
26870032;2002
26880063;503
26941053;503
26971024;2002
26971038;2002
26981062;503
26989221;503
27040080;503
27070024;2002
27070030;2002
27070031;2002
27070034;2002
27070041;2002
27070042;2002
27070043;2002
27070079;2002
27070324;2002
27070369;2002
27072524;2002
27072537;2002
27072724;2002
27072736;2002
27080060;503
27089221;503
27240004;503
28000000;4201
28020050;3900
28021002;3900
28021301;3900
28021504;3900
28021623;3900
28021705;3900
28021906;3900
28022015;3900
28022412;3900
28022511;3900
28022620;3900
28022822;3900
28023224;3900
28023325;3900
28040046;503
28042865;503
28070024;2002
28070057;2002
28220026;3900
28222208;3900
28222621;3900
28240023;503
28252760;5000
28270024;2002
28270056;2002
28280012;503
28320014;3900
28321816;3900
28420007;3900
28421030;3900
28440037;503
28470024;2002
28470091;2002
28520009;3900
28521518;3900
28540034;503
28570024;2002
28570092;2002
28591579;3800
29040060;503
29040061;503
29040090;503
29070024;2002
29070050;2002
29070051;2002
29070052;2002
29070058;2002
29070059;2002
29070324;2002
29070367;2002
29080010;503
29089210;503
29121731;3900
29172624;2002
29172655;2002
29240024;503
29280011;503
30000000;4201
30020500;800
30040000;503
30040005;503
30040048;503
30040060;503
30040061;503
30040062;503
30040063;503
30040098;503
30040099;503
30060010;4901
30060601;1400
30070010;2002
30070024;2002
30070207;2002
30070224;2002
30080000;503
30080005;503
30080022;503
30080038;503
30080041;503
30080053;503
30080055;503
30080057;503
30080061;503
30080074;503
30080080;503
30080081;503
30080082;503
30080083;503
30080084;503
30080085;503
30080086;503
30080087;503
30080088;503
30080089;503
30080095;503
30089300;503
30089302;503
30150001;100
30220190;3200
31040015;503
31040060;503
31040061;503
31070001;2002
31070024;2002
31070206;2002
31070224;2002
31080015;503
31080061;503
31470004;2002
31470024;2002
32040024;503
32050000;1100
32060362;2700
32070024;2002
32070080;2002
32080010;503
32440023;503
32470024;2002
32470077;2002
33020190;3200
33040001;503
33040310;503
33070024;2002
33070090;2002
33080001;503
33080030;503
33080085;503
33080086;503
33080087;503
33080088;503
33440035;503
34040049;503
34070024;2002
34070093;2002
34080031;503
34240050;503
34270024;2002
34270094;2002
34280032;503
35040038;503
35040085;503
35060190;2600
35060199;2600
35070024;2002
35070030;2002
35080070;503
35080085;503
35080086;503
35080087;503
35080088;503
35080089;503
35451460;100
35451775;100
35640064;503
36000000;4201
36020030;2101
36020186;3200
36033300;4700
36040039;503
36040060;503
36040061;503
36040085;503
36060192;100
36060295;2400
36070024;2002
36070050;2002
36070208;2002
36070224;2002
36080080;503
36080085;503
36089321;503
36240045;503
36270024;2002
36270048;2002
36280071;503
36540046;503
36570024;2002
36570049;2002
36580072;503
37000000;4201
37020090;3200
37040037;503
37040044;503
37040048;503
37040060;503
37040061;503
37050198;700
37060193;1501
37060194;1501
37070000;2002
37070024;2002
37070060;2002
37070209;2002
37070224;2002
37080040;503
37080085;503
37080086;503
37080087;503
37080088;503
37080089;503
37080090;503
37080091;503
37080092;503
37080093;503
37080094;503
37080095;503
37080096;503
37080097;503
37080098;503
37080099;503
37089340;503
37089342;503
37160087;1600
37540050;503
37570024;2002
37570064;2002
38010053;100
38020090;3200
38040007;503
38060186;1700
38070024;2002
38070059;2002
38070408;2002
38070424;2002
38070724;2002
38077724;2002
38080055;503
38440016;503
38470024;2002
38470091;2002
39040013;503
39060180;1800
39070020;2002
39070024;2002
39070210;2002
39070224;2002
39080005;503
39080098;503
39080099;503
39160191;100
39540052;503
39570024;2002
39570061;2002
39580041;503
40040028;503
40050000;1301
40060000;4901
40070024;2002
40070080;2002
40070211;2002
40070224;2002
40080040;503
40080085;503
40150001;100
40340030;503
40351220;100
40370024;2002
40370079;2002
41040018;503
41041000;503
41070024;2002
41070049;2002
41240048;503
41280043;503
41440018;503
41670024;2002
41670027;2002
41670028;2002
41670029;2002
41670030;2002
42040040;503
42070024;2002
42070062;2002
42080082;503
42640048;503
42680081;503
42840005;503
42870024;2002
42870077;2002
43000000;4201
43040036;503
43060967;2200
43070024;2002
43070061;2002
43080083;503
44000000;4201
44020090;3200
44040037;503
44040060;503
44040061;503
44040085;503
44050000;1301
44070024;2002
44070050;2002
44080050;503
44080055;503
44080057;503
44080085;503
44089320;503
44340037;503
44540022;503
44570004;2002
44570024;2002
44580070;503
44580085;503
45000000;4201
45040042;503
45070002;2002
45070024;2002
45080060;503
45240056;503
45840026;503
45841031;503
46040033;503
46070024;2002
46070090;2002
46080010;503
46240016;503
46441003;503
46640018;503
46670007;2002
46670024;2002
46670204;2002
46670224;2002
47000000;100
47240047;503
47270024;2002
47270029;2002
47460028;100
47640051;503
47670023;2002
47670024;2002
47670205;2002
47670224;2002
47840065;503
47840080;503
47880031;503
48000000;4201
48020086;3200
48040035;503
48040060;503
48040061;503
48070020;2002
48070024;2002
48070040;2002
48070042;2002
48070043;2002
48070044;2002
48070045;2002
48070050;2002
48070052;2002
48080020;503
48089350;503
49040043;503
49070024;2002
49070028;2002
49080025;503
49240096;503
49440043;503
50000000;4201
50020200;800
50030000;100
50030600;100
50033300;4700
50040000;503
50040005;503
50040010;503
50040011;503
50040012;503
50040013;503
50040014;503
50040015;503
50040016;503
50040017;503
50040018;503
50040019;503
50040020;503
50040021;503
50040022;503
50040033;100
50040038;503
50040040;503
50040048;503
50040050;503
50040051;503
50040052;503
50040060;503
50040061;503
50040062;503
50040063;503
50040075;503
50040085;503
50040086;503
50040088;503
50040099;503
50042500;503
50044444;503
50047010;503
50050201;1001
50050222;1001
50070010;2002
50070011;2002
50070024;2002
50070324;2002
50070371;2002
50070435;2002
50070436;2002
50070437;2002
50070438;2002
50070439;2002
50073019;2002
50073024;2002
50073081;2002
50080000;503
50080015;503
50080025;503
50080035;503
50080055;503
50080057;503
50080060;503
50080061;503
50080077;503
50080079;503
50080080;503
50080082;503
50080086;503
50080087;503
50080088;503
50080089;503
50080091;503
50080092;503
50080099;503
50080300;503
50083007;503
50083838;503
50089400;503
50230800;100
50320191;3200
50400000;4201
50520190;3200
50540028;503
50570018;2002
50570024;2002
50580005;503
50580085;503
50640015;503
50670009;2002
50670024;2002
50680002;503
50680085;503
50740048;503
50780006;503
50810900;5700
50820292;3200
50840005;503
50850049;1201
50870005;2002
50870024;2002
50870324;2002
50870393;2002
50880050;503
50880085;503
50880086;503
50970004;2002
50970024;2002
51020000;800
51020186;3200
51040038;503
51070021;2002
51070024;2002
51080060;503
51080085;503
51080086;503
51089410;503
51140029;503
51170010;2002
51170024;2002
51180041;503
51210800;2900
51210801;2900
51210802;2900
51210803;2900
51340013;503
51343224;503
51370008;2002
51370024;2002
51380040;503
51380085;503
51430400;100
51540037;503
51570008;2002
51570024;2002
51580044;503
51640043;503
52040021;503
52070012;2002
52070024;2002
52071212;2002
52071224;2002
52080080;503
52080085;503
52240006;503
52270012;2002
52270024;2002
52410300;100
52410310;100
52411000;100
52411010;100
53040012;503
53070007;2002
53070024;2002
53070324;2002
53070394;2002
